design,k,n,band,sigma_true,sigma_hat,aim_error_mm
best 1,1,100,league,16.0,9.393198486565524,20.886626228614055
best 1,1,100,league,16.0,15.964966843827783,3.1401903311997916
best 1,1,100,league,16.0,15.436246726752707,3.5621073694860756
best 1,1,100,league,16.0,14.919420738627833,4.284169250007976
best 1,1,100,league,16.0,14.5293062029222,2.7378318149596783
best 1,1,100,league,16.0,14.374958530540429,3.456699803188242
best 1,1,100,league,16.0,15.93725488362024,3.8329837788450796
best 1,1,100,league,16.0,16.477815910983544,4.157075388794335
best 1,1,100,league,16.0,16.444919705020645,2.27308971029838
best 1,1,100,league,16.0,13.8784272733154,1.9256822336185038
best 1,1,100,league,16.0,15.679711166885506,2.4958255447115074
best 1,1,100,league,16.0,16.666381743860462,4.901227972992568
best 1,1,100,league,16.0,16.32654820165339,6.1229351305595
best 1,1,100,league,16.0,15.970325605283518,2.10002419262665
best 1,1,100,league,16.0,15.960347857855808,2.23607324675949
best 1,1,100,league,16.0,14.844135729797829,2.588478880908892
best 1,1,100,league,16.0,18.964017872365126,3.380953629434074
best 1,1,100,league,16.0,16.960815025504814,5.702075729283609
best 1,1,100,league,16.0,16.66152720320007,2.702922801911412
best 1,1,100,league,16.0,17.563275624612533,2.6446566525118227
best 1,1,100,league,16.0,15.184235184536218,6.9297393758424795
best 1,1,100,league,16.0,18.023387691341203,1.3908790919038556
best 1,1,100,league,16.0,13.617571188437225,4.020347091484487
best 1,1,100,league,16.0,16.562691168889938,2.811611228353998
best 1,1,100,league,16.0,14.376273813269467,1.6245016989229752
best 1,1,100,league,16.0,16.1952132952246,2.781142781866537
best 1,1,100,league,16.0,16.2023448162076,6.823804132729577
best 1,1,100,league,16.0,14.044420437374097,3.577355062583867
best 1,1,100,league,16.0,16.378381953687196,6.688349766652648
best 1,1,100,league,16.0,16.178046558617396,2.697405325341499
best 1,1,100,league,16.0,13.529041890057742,4.432826483519959
best 1,1,100,league,16.0,15.6494685527213,1.9260715508027508
best 1,1,100,league,16.0,16.84332896275616,3.232377217749886
best 1,1,100,league,16.0,16.65453015133698,8.031665024992511
best 1,1,100,league,16.0,17.71601820332113,2.438174352808157
best 1,1,100,league,16.0,14.964700777233338,2.0018808232861613
best 1,1,100,league,16.0,16.10579356293215,5.445050879941404
best 1,1,100,league,16.0,9.050764806391177,22.325583256086066
best 1,1,100,league,16.0,14.465156889561431,4.345858758447677
best 1,1,100,league,16.0,14.058804097730974,3.3723684453692697
best 1,1,100,league,16.0,13.714671208680889,1.7790126249992515
best 1,1,100,league,16.0,15.791589397363461,2.8320522174003595
